Item;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
Real unidades 2017;571;727;966;715;733;744;641;882;1.040;831;955;770
Real facturación 2017;$210.836.717;$183.108.586;$237.566.630;$217.735.036;$235.511.691;$233.132.377;$204.106.000;$284.948.644;$305.000.000;$271.637.540;$284.489.214;$274.592.263
Real promedio 2017;$369.241;$251.869;$245.928;$304.525;$321.298;$313.350;$318.418;$323.071;$293.269;$326.880;$297.894;$356.613
Real unidades 2018;706;879;837;852;829;780;1.102;1.272;1.367;1.367;1.417;1.296
RF - GPS (lite- pro - MA);706;879;837;852;829;780;697;742;787;787;837;761
PLUS XS -LITE XS;0;0;0;0;0;0;345;420;450;450;450;415
TECH;0;0;0;0;0;0;60;110;130;130;130;120
Real facturación 2018;$323.192.292;$351.756.468;$387.170.716;$279.700.772;$397.916.279;$294.204.335;$387.780.662;$436.019.507;$466.254.002;$466.254.002;$480.814.207;$438.691.359
Venta;$257.263.000;$340.000.000;$351.115.270;$249.062.000;$357.764.000;$264.700.000;$0;$0;$0;$0;$0;$0
Servicio (Anticipados);$65.929.292;$11.756.468;$36.055.446;$30.638.772;$40.152.279;$29.504.335; $ - ;$0;$0;$0;$0;$0
Real promedio 2018;$457.779;$400.178;$462.570;$328.287;$479.996;$377.185;$351.888;$304.859;$318.961;$341.078;$329.043;$370.999
Variación Promedio 2017 / 2018;$88.538;$148.309;$216.641;$23.763;$158.697;$63.835;$33.470;-$18.212;$25.692;$14.198;$31.149;$14.385
% vs 2017;$50.555.349;$107.820.825;$209.275.558;$16.990.377;$116.325.019;$47.493.296;$21.454.258;-$16.062.996;$26.719.303;$11.798.507;$29.746.899;$11.076.672
Factu Prom Venta;24%;59%;88%;8%;49%;20%;11%;-6%;9%;4%;10%;4%
