ORDEN;ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
1;ENERO;296745.4044;1155497.945;16063.78033;1468307.13;18642.45853;77817.70029;4256.85523;100717.0141;0.068593969;1367590.116;137278.4832;235237.8005;0;372516.2837;0.272388839;995073.8325;0.727611161;912531.8015;430848.3249;188636.1151;293047.3614;0.667255335;82542.03101;0.060355826;19475.16872;11338.67206;51728.19023;0.037824338;41822.71097;205688.892;0;13685.70541;-182097.7073;-0.133152255;-182097.7073;-0.133152255
2;FEBRERO;368276.187;1296249.795;21376.665;1685902.647;14356.6789;59078.20069;8799.9999;82234.87949;0.048777953;1603667.767;158763.7967;211883.4177;0;370647.2144;0.231124689;1233020.553;0.768875311;957300.5998;470928.1102;184998.283;301374.2066;0.596944467;275719.953;0.171930844;19405.41196;15038.67206;241275.8689;0.150452528;43861.19941;191923.7999;0;15365.9132;20856.78287;0.013005676;20856.78287;0.013005676
3;MARZO;359187.1;1248080.681;21276.45233;1628544.233;20420.35775;73730.84317;6810.43413;100961.6351;0.061995022;1527582.598;158842.0661;222770.8656;0;381612.9316;0.249814925;1145969.667;0.750185075;982975.2865;474188.0069;196184.4321;312602.8475;0.643484213;162994.3802;0.106700862;19620.65363;15038.67206;128335.0545;0.084011859;49519.50863;189875.6846;0;23861.55398;-87198.58476;-0.05708273;-87198.58476;-0.05708273
21;Q1;1024208.691;3699828.421;58716.89766;4782754.01;53419.49518;210626.7442;19867.28926;283913.5286;0.179366944;4498840.482;454884.3459;669892.0838;0;1124776.43;0.753328453;3374064.052;2.246671547;2852807.688;1375964.442;569818.8302;907024.4155;1.907684015;521256.3641;0.338987532;58501.23431;41416.01618;421339.1136;0.272288725;135203.419;587488.3764;0;52913.17259;-248439.5092;-0.177229309;-248439.5092;-0.177229309
4;ABRIL;279393.578;1361150.846;9390.806;1649935.23;15517.60057;86373.96128;5675.8559;107567.4178;0.065194934;1542367.812;146530.7251;183501.8516;0;330032.5766;0.213977868;1212335.235;0.786022132;1002722.811;447838.1501;233464.4918;321420.1691;0.650119124;209612.4244;0.135903008;19012.72197;14975.32317;175624.3792;0.11386673;48939.20751;201871.4751;0;-1419.69265;-76605.99602;-0.049667787;-76605.99602;-0.049667787
5;MAYO;422621.5604;1226236.36;8845.81;1657703.73;55466.70603;100910.5629;4399.643;160776.9119;0.096987724;1496926.818;149010.9576;192493.5394;0;341504.497;0.228137069;1155422.321;0.771862931;1024430.837;492645.2341;212716.1888;319069.4142;0.684355992;130991.4842;0.087506939;19377.75531;16076.17762;95537.55128;0.06382246;52089.05969;202899.2162;0;18068.37526;-141382.3493;-0.094448404;-141382.3493;-0.094448404
6;JUNIO;367922.999;1274956.348;18432.699;1661312.046;34274.76919;117749.0039;4184.28899;156208.0621;0.094026924;1505103.983;141210.5071;208258.078;0;349468.5851;0.232188998;1155635.398;0.767811002;981420.4872;419834.5713;213914.2428;347671.673;0.652061584;174214.9112;0.115749419;20878.6643;16076.17762;137260.0693;0.091196403;52052.94276;213832.4004;0;5413.7586;-123211.5153;-0.08186246;-123211.5153;-0.08186246
22;Q2;1069938.137;3862343.553;36669.315;4968951.006;105259.0758;305033.528;14259.78789;424552.3917;0.256209582;4544398.614;436752.1897;584253.469;0;1021005.659;0.674303935;3523392.955;2.325696065;3008574.135;1360317.956;660094.9234;988161.2564;1.986536699;514818.8198;0.339159366;59269.14158;47127.67841;408421.9998;0.268885592;153081.21;618603.0917;0;22062.44121;-341199.8606;-0.225978652;-341199.8606;-0.225978652
31;SEMESTRE 1;2094146.829;7562171.974;95386.21266;9751705.016;158678.571;515660.2722;34127.07715;708465.9203;0.435576526;9043239.095;891636.5356;1254145.553;0;2145782.088;1.427632388;6897457.007;4.572367612;5861381.823;2736282.397;1229913.754;1895185.672;3.894220715;1036075.184;0.678146898;117770.3759;88543.69459;829761.1134;0.541174317;288284.629;1206091.468;0;74975.6138;-589639.3698;-0.40320796;-589639.3698;-0.40320796
7;JULIO;433732.2;1223493.348;5437.291;1662662.839;32301.98077;108289.0234;399.904;140990.9081;0.084798255;1521671.931;202039.349;226999.5469;0;429038.8959;0.281952297;1092633.035;0.718047703;979176.1485;457765.5137;240060.8973;281349.7375;0.643487028;113456.8862;0.074560675;20121.5643;10059.07028;83276.2516;0.054726811;53416.9956;186264.1019;0;35152.29825;-121252.5476;-0.079683764;-121252.5476;-0.079683764
8;AGOSTO;443155.668;1239626.384;20041.8;1702823.852;10273.775;80118.96723;5145;95537.74223;0.056105476;1607286.11;158558.759;209814.7277;0;368373.4867;0.229189741;1238912.623;0.770810259;963347.6988;452426.3728;238738.7778;272182.5482;0.599362922;275564.9242;0.171447338;18515.89763;10517.11403;246531.9125;0.153383963;52734.13779;186108.5454;0;7757.27844;15446.50777;0.009610304;15446.50777;0.009610304
9;SEPTIEMBRE;446832.039;1258944.476;20041.8;1725818.315;11469.468;82195.34218;5145;98809.81018;0.057253889;1627008.504;166856.606;171202.2779;0;338058.8839;0.20777942;1288949.62;0.79222058;948576.0968;450429.539;227558.5487;270588.0091;0.583018524;340373.5236;0.209202056;18515.89763;10517.11403;311340.512;0.191357643;53074.67574;179087.1856;0;21067.11358;100245.7642;0.061613547;100245.7642;0.061613547
23;Q3;1323719.907;3722064.207;45520.891;5091305.005;54045.22377;270603.3328;10689.904;335338.4605;0.19815762;4755966.545;527454.714;608016.5525;0;1135471.266;0.718921458;3620495.278;2.281078542;2891099.944;1360621.425;706358.2238;824120.2948;1.825868474;729395.334;0.455210068;57153.35956;31093.29834;641148.6761;0.399468416;159225.8091;551459.833;0;63976.69027;-5560.275696;-0.008459914;-5560.275696;-0.008459914
10;OCTUBRE;469278.61;1256613.507;20041.8;1745933.917;11469.468;82383.92569;5145;98998.39369;0.056702257;1646935.523;173731.306;193439.8607;0;367171.1667;0.222942041;1279764.357;0.777057959;943833.2965;447728.0202;224870.3553;271234.9209;0.573084546;335931.0601;0.203973413;18465.13203;10517.11403;306948.8141;0.186375732;53218.78106;171615.806;0;15572.66432;97686.89134;0.059314339;97686.89134;0.059314339
11;NOVIEMBRE;480318.91;1258709.466;20041.8;1759070.176;11900.645;82806.15934;5145;99851.80434;0.056763969;1659218.372;177352.8765;201738.9888;0;379091.8653;0.228476174;1280126.506;0.771523826;984691.8621;462415.6264;243647.3791;278628.8566;0.593467309;295434.6442;0.178056517;18515.89763;10517.11403;266401.6326;0.160558512;53339.31774;171550.9628;0;15782.32642;57293.67842;0.034530523;57293.67842;0.034530523
12;DICIEMBRE;427845.91;1218238.078;20041.8;1666125.788;10779.889;78999.1399;5145;94924.0289;0.056972907;1571201.759;155773.2025;162177.5666;0;317950.7691;0.202361516;1253250.99;0.797638484;978386.2369;463160.3345;223999.62;291226.2825;0.622699301;274864.7527;0.174939183;18515.89763;10517.11403;245831.741;0.156460964;53331.50342;162219.9433;0;15828.59456;46108.88884;0.029346256;46108.88884;0.029346256
24;Q4;1377443.43;3733561.051;60125.4;5171129.881;34150.002;244189.2249;15435;293774.2269;0.170439132;4877355.654;506857.385;557356.4161;0;1064213.801;0.65377973;3813141.853;2.34622027;2906911.395;1373303.981;692517.3543;841090.0601;1.789251156;906230.4571;0.556969114;55496.92729;31551.34209;819182.1877;0.503395208;159889.6022;505386.7121;0;47183.58529;201089.4586;0.123191118;201089.4586;0.123191118
32;SEMESTRE 2;2701163.337;7455625.258;105646.291;10262434.89;88195.22577;514792.5577;26124.904;629112.6875;0.368596752;9633322.198;1034312.099;1165372.969;0;2199685.068;1.372701188;7433637.131;4.627298812;5798011.34;2733925.407;1398875.578;1665210.355;3.61511963;1635625.791;1.012179182;112650.2869;62644.64043;1460330.864;0.902863623;319115.4113;1056846.545;0;111160.2756;195529.1829;0.114731204;195529.1829;0.114731204
41;TOTAL_2018;4795310.166;15017797.23;201032.5037;20014139.9;246873.7967;1030452.83;60251.98115;1337578.608;0.066831681;18676561.29;1925948.635;2419518.521;0;4345467.156;0.232669552;14331094.14;0.767330448;11659393.16;5470207.804;2628789.332;3560396.027;0.624279437;2671700.975;0.143051011;230420.6627;151188.335;2290091.977;0.122618502;607400.0403;2262938.013;0;186135.8894;-394110.1869;-0.02110186;-394110.1869;-0.02110186
42;TOTAL_2017;4341595.389;15435935.99;226922.8177;20004454.19;202227.6786;1049343.768;59300.71038;1310872.156;0.065529014;18693582.04;1924346.043;2758631.498;0;4682977.541;0.250512584;14010604.5;0.749487416;11205231.96;5283449.171;1970889.264;3950893.525;0.599415989;2805372.537;0.150071427;220890.3129;162442.483;2422039.741;0.129565309;774734.1999;2238374.087;0;147244.2244;-443824.3214;-0.023742069;-443824.3214;-0.023742069
51;var $$;453714.7766;-418138.7549;-25890.31399;9685.707769;44646.11818;-18890.93764;951.27077;26706.45131;0;-17020.74355;1602.59176;-339112.9767;0;-337510.385;0;320489.6414;0;454161.2034;186758.6332;657900.0681;-390497.4979;0;-133671.5619;0;9530.34986;-11254.14798;-131947.7638;0;-167334.1596;24563.92624;0;38891.665;49714.13451;0;49714.13451;0
52;var %;0.104504159;-0.027088656;-0.114093039;0.000484178;0.220771551;-0.018002621;0.016041473;0.02037304;0;-0.000910513;0.000832798;-0.122927972;0;-0.07207175;0;0.02287479;0;0.040531174;0.035347862;0.333808743;-0.098837768;0;-0.047648418;0;0.043145169;-0.069280817;-0.054477952;0;-0.215989122;0.010974004;0;0.264130326;0.112013092;0;0.112013092;0
